PREDICT,TRUE,ERROR
1030,1030,0
530,530,0
610,610,0
571,560,-11
1060,1060,0
760,760,0
930,930,0
0,0,0
546,550,4
644,580,-64
1230,1230,0
900,900,0
793,810,17
1240,1240,0
1230,1230,0
520,520,0
1017,1030,13
940,940,0
0,0,0
557,560,3
557,560,3
560,560,0
560,560,0
660,660,0
400,400,0
610,610,0
796,900,104
430,430,0
744,730,-14
430,430,0
430,430,0
1240,1240,0
700,700,0
677,670,-7
895,820,-75
560,560,0
900,900,0
1077,1060,-17
530,530,0
500,500,0
530,530,0
690,690,0
430,430,0
1240,1240,0
550,550,0
760,760,0
0,0,0
538,540,2
1030,1030,0
700,700,0
580,580,0
740,740,0
520,520,0
671,670,-1
1070,1070,0
893,930,37
370,370,0
1100,1070,-30
430,430,0
430,430,0
521,500,-21
836,900,64
560,560,0
690,690,0
500,500,0
813,930,117
546,530,-16
687,700,13
820,820,0
590,590,0
430,430,0
430,430,0
1060,1060,0
1240,1240,0
500,500,0
1240,1240,0
590,590,0
560,560,0
622,620,-2
660,690,30
580,580,0
530,530,0
400,400,0
413,430,17
760,760,0
940,930,-10
569,610,41
657,660,3
530,530,0
1230,1230,0
600,560,-40
490,480,-10
413,810,397
780,780,0
942,1040,98
500,500,0
570,560,-10
590,590,0
894,910,16
370,370,0
530,530,0
638,640,2
1240,1240,0
512,520,8
610,610,0
560,560,0
560,560,0
695,660,-35
370,370,0
620,620,0
584,610,26
520,520,0
1360,1360,0
610,610,0
539,540,1
533,530,-3
850,850,0
810,810,0
1240,1240,0
1230,1230,0
707,580,-127
605,640,35
1240,1240,0
820,730,-90
690,690,0
610,610,0
440,430,-10
500,500,0
590,590,0
400,400,0
560,560,0
730,730,0
540,520,-20
1360,1360,0
705,810,105
929,900,-29
520,520,0
520,520,0
1230,1230,0
1030,1030,0
672,670,-2
580,580,0
463,430,-33
868,900,32
430,430,0
560,560,0
620,620,0
0,0,0
1000,1000,0
370,370,0
580,580,0
1060,1060,0
1030,1030,0
807,820,13
543,530,-13
430,430,0
530,530,0
540,540,0
530,530,0
500,500,0
500,500,0
538,540,2
1030,1030,0
609,610,1
1030,1030,0
683,690,7
1070,1070,0
1030,1030,0
1230,1230,0
1240,1240,0
1230,1230,0
1360,1360,0
1230,1230,0
764,820,56
731,680,-51
571,530,-41
430,430,0
430,430,0
760,760,0
726,740,14
421,430,9
740,740,0
1240,1240,0
1230,1230,0
672,670,-2
620,620,0
1008,1030,22
560,560,0
500,500,0
540,540,0
620,620,0
580,580,0
700,700,0
1030,1030,0
1033,1030,-3
411,450,39
1230,1230,0
602,620,18
560,560,0
702,730,28
540,540,0
530,530,0
900,900,0
1060,1060,0
1230,1230,0
554,560,6
765,810,45
560,560,0
784,760,-24
480,480,0
1230,1230,0
883,900,17
618,610,-8
1180,1180,0
847,850,3
430,430,0
1030,1030,0
796,760,-36
640,640,0
788,790,2
539,530,-9
518,520,2
500,500,0
820,820,0
819,820,1
530,530,0
1230,1230,0
820,820,0
1240,1240,0
530,530,0
680,680,0
530,530,0
550,550,0
681,680,-1
890,940,50
560,560,0
430,430,0
760,760,0
680,680,0
560,560,0
1360,1360,0
1230,1230,0
549,680,131
52,0,-52
0,0,0
662,730,68
1240,1240,0
370,370,0
571,550,-21
740,740,0
610,610,0
1230,1230,0
370,370,0
1230,1230,0
617,620,3
0,0,0
598,580,-18
544,530,-14
1230,1230,0
1030,1030,0
910,910,0
940,940,0
540,540,0
940,940,0
310,310,0
543,530,-13
620,620,0
52,0,-52
1240,1240,0
760,760,0
471,550,79
760,760,0
566,560,-6
1057,1070,13
580,580,0
1230,1230,0
493,490,-3
500,500,0
760,760,0
1030,1030,0
500,500,0
683,640,-43
430,430,0
1360,1360,0
676,660,-16
560,560,0
595,590,-5
1360,1360,0
430,430,0
730,730,0
1240,1240,0
930,930,0
610,610,0
530,530,0
1230,1230,0
1230,1230,0
505,530,25
760,760,0
890,890,0
1240,1240,0
620,620,0
1020,1020,0
1230,1230,0
927,930,3
820,820,0
1280,1280,0
647,660,13
430,430,0
1230,1230,0
430,430,0
620,620,0
0,0,0
1230,1230,0
1324,1360,36
578,580,2
530,530,0
842,820,-22
1230,1230,0
803,810,7
1230,1230,0
820,820,0
602,620,18
1240,1240,0
640,640,0
580,580,0
747,730,-17
580,580,0
760,760,0
500,500,0
530,530,0
530,530,0
1000,1000,0
480,480,0
700,700,0
543,530,-13
930,930,0
598,580,-18
0,0,0
610,610,0
850,850,0
700,700,0
540,540,0
1360,1360,0
760,760,0
700,700,0
1360,1360,0
367,350,-17
530,530,0
530,530,0
1230,1230,0
610,610,0
427,430,3
540,540,0
630,630,0
500,500,0
1000,1000,0
1230,1230,0
610,610,0
940,940,0
530,530,0
630,630,0
752,760,8
530,530,0
530,530,0
986,940,-46
560,560,0
740,740,0
804,820,16
530,530,0
620,620,0
1230,1230,0
520,520,0
560,560,0
766,760,-6
735,760,25
740,740,0
684,690,6
810,810,0
642,660,18
620,620,0
580,580,0
560,560,0
1180,1180,0
1230,1230,0
720,810,90
740,740,0
590,590,0
640,640,0
900,900,0
